	91 
a	143 
able	5 
aboard	1 
about	21 
above	6 
absence	1 
absorbing	1 
accept	1 
accompanied	1 
accompany	1 
accustomed	1 
acted	1 
adapt	1 
add	1 
added	4 
addressed	4 
admiring	1 
admit	1 
adrenaline	1 
adults	1 
advancing	2 
adventure	1 
adventurous	1 
after	7 
afterwards	1 
again	9 
against	2 
aged	1 
aggressive	1 
ago	4 
agree	2 
agreed	6 
ahead	7 
aiming	1 
air	5 
alert	3 
alicia	27 
aliens	9 
alive	3 
all	72 
alliance	1 
almost	7 
alone	10 
along	2 
alongside	1 
already	13 
also	18 
although	19 
always	2 
am	5 
amazed	1 
among	3 
an	11 
analyze	1 
and	256 
animals	2 
annoying	1 
another	9 
answer	2 
answered	4 
anticipation	1 
ants	1 
anxiously	1 
any	12 
anymore	2 
anyone	3 
anything	15 
anyway	7 
apart	1 
apologetically	1 
appearance	1 
appearances	2 
approached	1 
are	50 
area	2 
aren	1 
arguing	1 
arm	1 
armed	3 
army	1 
around	13 
arrived	1 
as	87 
ask	2 
asked	5 
asking	1 
asleep	9 
ass	1 
astonished	2 
at	43 
attack	1 
attacked	2 
attention	5 
avoid	1 
aware	3 
away	3 
awe	2 
babbled	1 
back	27 
backpack	1 
bad	5 
bag	3 
bank	1 
bath	1 
be	38 
bearing	1 
beauties	1 
beauty	2 
because	9 
bed	2 
been	16 
before	17 
beg	1 
begging	1 
beginning	1 
behind	7 
being	4 
beings	5 
believe	5 
believed	1 
below	3 
belt	1 
beneath	1 
besides	2 
best	2 
betrayed	1 
better	15 
between	1 
beyond	1 
big	3 
bigger	2 
bill	22 
biologists	1 
bit	5 
bite	1 
black	2 
bless	1 
blood	1 
blushing	1 
board	2 
bodies	1 
body	1 
bones	1 
book	1 
bored	2 
both	6 
bottles	1 
bottom	1 
bowls	1 
boy	2 
bracelets	1 
brandon	1 
brave	4 
break	2 
breath	1 
breathable	2 
breathe	1 
breeze	1 
bringing	1 
broke	1 
brook	1 
brother	18 
brought	1 
bugs	7 
build	1 
bullets	1 
business	1 
busy	1 
but	86 
buzz	2 
by	11 
cabin	1 
calculated	1 
call	5 
called	1 
calling	1 
calm	1 
calming	1 
calmly	1 
came	5 
camera	1 
camilla	1 
can	19 
captain	5 
captured	1 
care	2 
carefully	3 
carry	1 
case	3 
cast	1 
cause	1 
cave	5 
ceiling	1 
certain	1 
chambers	1 
chance	5 
chances	3 
changed	1 
changing	1 
character	1 
chat	1 
check	2 
checked	1 
cheek	1 
cheeks	1 
chief	2 
children	1 
chocolate	1 
chose	1 
chuckled	1 
circle	1 
circles	1 
circumstances	1 
clear	2 
clearly	1 
clenched	1 
clenching	1 
cliff	2 
close	1 
closed	2 
closely	3 
closer	1 
clothes	2 
clouds	4 
cold	1 
color	1 
colorful	1 
colors	1 
come	13 
comfort	2 
coming	2 
companions	1 
company	1 
complain	1 
compose	1 
computer	1 
concentration	1 
confidence	1 
confident	2 
confrontation	1 
confused	1 
considerably	1 
consisted	1 
constantly	1 
contaminated	1 
content	2 
control	1 
conventional	1 
conversation	2 
corner	1 
corridor	3 
costumes	1 
could	39 
couldn	15 
count	1 
counting	1 
course	4 
cover	1 
cozy	1 
crackling	1 
crazy	1 
creature	1 
creatures	5 
crew	13 
crewmen	1 
cried	2 
critters	2 
crossed	2 
crying	4 
crystal	1 
curious	2 
cushions	1 
d	9 
dad	6 
danger	2 
dangerous	1 
dangers	3 
dark	3 
darkness	4 
darn	1 
day	5 
daylight	2 
dead	3 
death	1 
debating	1 
decency	1 
